Forecasted,LowBound,UpBound,Shut_Off,Forecast_Rolling,UpBound_Rolling,LowBound_Rolling,SO_Rolling
422.1364220904763,420.4407726755411,423.8320715054115,420.0,422.81209440615527,424.2572232976506,421.36696551465997,420.0
420.7852554069101,419.04940941701415,422.52110139680605,420.0,423.02519952663766,424.5169278473904,421.53347120588484,420.0
421.0203023755884,419.24516979943934,422.7954349517375,420.0,423.2385004324287,424.7762970473255,421.7007038175318,420.0
422.6005731895525,420.78700487675775,424.41414150234726,420.0,423.4519971235282,425.03539710242325,421.8685971446334,420.0
424.06104052409813,422.19361948309205,425.9284615651042,420.0,423.66568959993646,425.2939200969716,422.0374591029013,420.0
425.40623212427994,423.492693843825,427.31977040473487,420.0,423.87957786165333,425.55211037912295,422.20704534418365,420.0
426.2651665510727,424.3078138676525,428.2225192344929,420.0,424.0936619086788,425.8100612330896,422.37726258426807,420.0
426.93500356157966,424.9347959972118,428.93521112594755,420.0,424.30794174101294,426.0678281697458,422.5480553122802,420.0
428.4018144907969,426.3596511589801,430.44397782261365,420.0,424.52241735865573,426.32545909239394,422.7193756249175,420.0
429.11637698811904,427.03310267898945,431.19965129724864,420.0,424.7370887616071,426.58299564145824,422.891181881756,420.0
428.5584051138387,426.43481555360313,430.6819946740743,420.0,424.95195594986717,426.8404742490766,423.0634376506577,420.0
426.7176346649166,424.55448108886054,428.88078824097266,420.0,425.16701892343576,427.0979269767909,423.2361108700806,420.0
424.7195271970033,422.51752034713513,426.92153404687144,420.0,425.38227768231303,427.3553821885792,423.40917317604675,420.0
423.37070993714065,421.13052357432866,425.6108962999526,420.0,425.59773222649886,427.6128650971748,423.582599355823,420.0
423.60810632952246,421.3303803334046,425.8858323256403,420.0,425.8133825559933,427.8703982116667,423.7563669003201,420.0
425.19072656719004,422.87606968405305,427.50538345032703,420.0,426.0292286707965,428.12800170733163,423.9304556342613,420.0
426.65354332543916,424.2884841737981,429.0186024770802,420.0,426.2452705709082,428.3855134499963,424.10502769182017,420.0
428.00108434932446,425.59208608052495,430.41008261812397,420.0,426.46150825632867,428.6430394677788,424.27997704487854,420.0
428.86236819982076,426.41128493373907,431.31345146590246,420.0,426.67794172705766,428.90061715372957,424.45526630038574,420.0
429.5345546340312,427.0420968729795,432.0270123950829,420.0,426.89457098309526,429.15826725949086,424.6308747066997,420.0
431.0037149869519,428.4705584177703,433.53687155613346,420.0,427.11139602444155,429.41600840395085,424.8067836449322,420.0
431.72062690797753,429.14741515661524,434.2938386593398,420.0,427.3284168510964,429.6738573507917,424.982976351401,420.0
431.16500445740076,428.5523515469073,433.7776573678942,420.0,427.54563346305986,429.93182924194343,425.15943768417634,420.0
429.32658343218213,426.67507598469666,431.9780908796676,420.0,427.76304586033194,430.18993779516796,425.33615392549603,420.0
427.33082538797237,424.6410246040049,430.02062617193985,420.0,427.9806540429128,430.44819547225705,425.5131126135686,420.0
425.98435755181316,423.25680099496725,428.7119141086591,420.0,428.19845801080214,430.7066136229826,425.6903023986217,420.0
426.22410336789846,423.4593065789546,428.9889001568423,420.0,428.41645776400014,430.96520260891606,425.8677129190842,420.0
427.80907302926954,425.0075309900498,430.61061506848927,420.0,428.6346533025068,431.22397191042955,426.04533469458397,420.0
429.27423921122215,426.42372830690766,432.12475011553664,420.0,428.85304462632206,431.4828175469676,426.2232717056765,420.0
430.62412965881094,427.7303691167167,433.5178902009052,420.0,429.0716317354459,431.7418015121994,426.4014619586924,420.0
431.48776293301074,428.55235978115354,434.42316608486794,420.0,429.2904146298784,432.00094439711324,426.5798848626436,420.0
432.1622987909247,429.1858355799145,435.1387620019349,420.0,429.50939330961955,432.2602568643509,426.75852975488823,420.0
433.63380856754884,430.61684406178136,436.6507730733163,420.0,429.7285677746693,432.5197486574494,426.93738689188916,420.0
434.35306991227804,431.2961406668383,437.4099991577178,420.0,429.94793802502767,432.7794286989809,427.1164473510744,420.0
433.7997968854047,430.7034186794698,436.8961750913396,420.0,430.1675040606947,433.0393051759347,427.2957029454546,420.0
431.9637252838896,428.828394427863,435.0990561399162,420.0,430.3872658816702,433.2993856142887,427.4751461490518,420.0
429.9703166633833,426.79651119371186,433.14412213305474,420.0,430.6072234879545,433.5596769443817,427.65477003152733,420.0
428.6261982509276,425.4143790247132,431.838017477142,420.0,430.82737687954744,433.8201855584219,427.8345682006729,420.0
428.8682934907164,425.61890519067526,432.1176817907575,420.0,431.04772605644894,434.08091736124817,428.01453475164953,420.0
430.455612575791,427.16908463478575,433.74214051679627,420.0,431.26827101865905,434.3418778152737,428.1946642220442,420.0
431.9231281814471,428.58812950555455,435.2581268573397,420.0,431.4890117661778,434.6029925437574,428.37503098859816,420.0
433.2753680527394,429.8971151096158,436.653620995863,420.0,431.70994829900513,434.8643034433371,428.5555931546731,420.0
434.1413507506427,430.72129096512083,437.56141053616454,420.0,431.9310806171411,435.1258238142785,428.73633742000374,420.0
434.81823603226013,431.3568743179323,438.27959774658797,420.0,432.1524087205857,435.38756012633297,428.9172573148385,420.0
436.29209523258777,432.7899186381989,439.7942718269766,420.0,432.37393260933896,435.6495183558047,429.0983468628733,420.0
437.01370600102047,433.47118474079406,440.5562272612469,420.0,432.59565228340085,435.91170403109874,429.27960053570297,420.0
436.4627823978506,432.88037079949584,440.0451939962054,420.0,432.81756774277136,436.1741222731709,429.4610132123718,420.0
434.629060220039,431.0071975996601,438.25092284041784,420.0,433.0396789874505,436.43677783154607,429.6425801433549,420.0
432.6380010232362,428.9771124942356,436.2988895522368,420.0,433.2619860174382,436.69967511647786,429.8242969183985,420.0
431.296232034484,427.596729256726,434.99573481224195,420.0,433.48448883273454,436.96281822773614,430.00615943773295,420.0
431.5406766979763,427.80295857276815,435.2783948231845,420.0,433.70718743333947,437.22621098043845,430.1881638862407,420.0
433.1303452067544,429.3547985225799,436.90589189092884,420.0,433.9300818192532,437.4898569282829,430.37030671022353,420.0
434.60021023611404,430.7761877469309,438.4242327252972,420.0,434.15317199047536,437.753699083946,430.5526448970049,420.0
435.9547995311098,432.0871473716528,439.8224516905668,420.0,434.37645794700626,438.0177683085046,430.73514758550795,420.0
436.8231316527166,432.91318370621576,440.73307959921743,420.0,434.5999396888458,438.282074063759,430.91780531393255,420.0
437.50236635803753,433.55057528908816,441.4541574269869,420.0,434.8236172159939,438.54662070379226,431.1006137281956,420.0
438.97857498206866,434.98537922416875,442.9717707399686,420.0,435.0474905284506,438.81141227987496,431.28356877702635,420.0
439.70253517420485,435.6683596612665,443.7367106871432,420.0,435.271559626216,439.0764525653663,431.4666666870657,420.0
439.1539609947385,435.0792178399528,443.2287041495242,420.0,435.49582450929,439.3417450781428,431.64990394043707,420.0
437.32258824063035,433.20767736847836,441.43749911278235,420.0,435.7202851776726,439.60729310083985,431.8332772545053,420.0
435.33387846753106,431.1791882030184,439.48856873204375,420.0,435.94494163136386,439.87309969915714,432.0167835635705,420.0
433.99445890248234,429.80036652124915,438.1885512837155,420.0,436.1697938703637,440.1391677384466,432.20042000228074,420.0
434.2412529896782,430.00812523226284,438.4743807470935,420.0,436.39484189467225,440.4054998987724,432.38418389057205,420.0
435.8332709221598,431.5614644753645,440.10507736895505,420.0,436.6200857042893,440.67209868860783,432.56807271997076,420.0
437.3054853752229,432.98490209821216,441.6260686522336,420.0,436.84552529921507,440.93891834918594,432.75213224924414,420.0
438.6624240939222,434.2976213651933,443.0272268226511,420.0,437.07116067944935,441.2059829435263,432.9363384153726,420.0
439.5331056392325,435.125331185317,443.94088009314794,420.0,437.2969918449924,441.4732996513538,433.120684038631,420.0
440.2146897682569,435.7643584995325,444.66502103698133,420.0,437.52301879584405,441.74087161885336,433.30516597283463,420.0
441.6932478159915,437.2007628503869,446.18573278159613,420.0,437.7492415320043,442.00870178898896,433.48978127501954,420.0
442.4195574318312,437.88531064421807,446.95380421944435,420.0,437.9756600534731,442.27679291668073,433.6745271902655,420.0
441.87333267606834,437.2977052113618,446.4489601407749,420.0,438.2022743602506,442.5451475826183,433.85940113788297,420.0
440.0443093456637,435.42767209972664,444.66094659160075,420.0,438.42908445233667,442.8137682058532,434.04440069882025,420.0
438.0579489962679,433.40066306717034,442.71523492536545,420.0,438.6560903297315,443.0826570552966,434.22952360416633,420.0
436.72087885492266,432.02329596686553,441.4184617429798,420.0,438.8832919924348,443.35181626023535,434.4147677246344,420.0
436.970022365822,432.23248526781805,441.70755946382593,420.0,439.1106894404468,443.621247819963,434.60013106093055,420.0
438.5643897220071,433.787232563219,443.3415468807952,420.0,439.3382826737674,443.8909536126164,434.7856117349184,420.0
440.03895359877373,435.2125342546976,444.8653729428499,420.0,439.56607169239663,444.16089563683437,434.9712477479589,420.0
441.3982417411765,436.5268832243487,446.2696002580043,420.0,439.79405649633446,444.43109342311385,435.1570195695552,420.0
442.27127271019026,437.35615430240773,447.1863911179728,420.0,440.0222370855809,444.70155267518254,435.3429214959794,420.0
442.9552062629182,437.9967141420271,447.9136983838093,420.0,440.25061346013604,444.97227578741825,435.528951132854,420.0
444.4361137343563,439.43462402994277,449.4376034387698,420.0,440.4791856199998,445.2432650088494,435.7151062311503,420.0
445.16477277389953,440.1206519968195,450.20889355097955,420.0,440.70795356517215,445.5145224531439,435.9013846772004,420.0
444.62089744184016,439.5345028873265,449.70729199635383,420.0,440.93691729565313,445.7860501077755,436.0877844835307,420.0
442.794223535139,437.66590366264643,447.92254340763157,420.0,441.1660768114428,446.05784984244474,436.2743037804408,420.0
440.8102126094467,435.6403074009329,445.9801178179605,420.0,441.39543211254096,446.32992341682774,436.4609408082543,420.0
439.47549189180495,434.2643331899965,444.6866505936134,420.0,441.62498319894786,446.6022724877139,436.6476939101819,420.0
439.72698482640783,434.4748966544661,444.9790729983496,420.0,441.8547300706634,446.8748986155908,436.83456152573586,420.0
441.3237016062964,436.0310004701783,446.61640274241455,420.0,442.0846727276874,447.1478032707257,437.0215421846492,420.0
442.80061490676655,437.4580470372032,448.1431827763299,420.0,442.3148111700202,447.4209540901824,437.20866824985796,420.0
444.1622524728728,438.77394494712246,449.55055999862316,420.0,442.54514539766154,447.6943674019007,437.39592339342244,420.0
445.0376328655901,439.6047087108282,450.47055702035203,420.0,442.77567541061154,447.9680478937656,437.5833029274575,420.0
445.72391584202154,440.24673849081825,451.20109319322484,420.0,443.00640120887016,448.2419974612169,437.77080495652336,420.0
447.2071727371632,441.68609688170955,452.72824859261686,420.0,443.2373227924374,448.5162178907041,437.95842769417067,420.0
447.9381812004099,442.3735531385523,453.5028092622674,420.0,443.4684401613133,448.7907108666448,438.1461694559817,420.0
447.396655292054,441.7888132532701,453.00449733083786,420.0,443.69975331549773,449.0654779778518,438.3340286531438,420.0
445.5723308090563,439.921605262979,451.2230563551336,420.0,443.9312622549908,449.340520723477,438.52200378650474,420.0
443.59066930706757,437.897383255741,449.28395535839417,420.0,444.1629669797926,449.61584051851315,438.71009344107205,420.0
442.2582980131294,436.52276726808327,447.9938287581755,420.0,444.39486748990294,449.8914386988933,438.8982962809127,420.0
442.5121403714357,436.73467381657724,448.28960692629414,420.0,444.62696378532195,450.16731652622207,439.08661104442194,420.0
444.1112065750278,438.29210641627066,449.9303067337849,420.0,444.8592558660495,450.4434751921695,439.27503653992954,420.0
445.5904692992014,439.720818962862,451.4601196355408,420.0,445.09174373208583,450.7198865971038,439.4636008670679,420.0
446.9544562890112,441.03821530442235,452.87069727360006,420.0,445.3244273834307,450.99656470335185,439.6522900635095,420.0
447.83218610543196,441.8704300459764,453.79394216488754,420.0,445.5573068200842,451.2735134653965,439.84110017477184,420.0
448.52081850556687,442.5138922348838,454.5277447762499,420.0,445.7903820420463,451.55073443064856,440.030029653444,420.0
450.006424824412,443.95466548266785,456.0581841661562,420.0,446.02365304931703,451.8282290617769,440.2190770368572,420.0
450.7397827113622,444.64352000054055,456.8360454221838,420.0,446.2571198418963,452.10599874176984,440.4082409420229,420.0
450.2006062267098,444.0601626801636,456.341049773256,420.0,446.49078241978435,452.38404477863804,440.59752006093066,420.0
448.3786311674157,442.1943224059382,454.5629399288932,420.0,446.72464078298094,452.6623684097847,440.7869131561772,420.0
446.39931908913036,440.17145406440045,452.62718411386027,420.0,446.9586949314862,452.9409708060735,440.9764190568989,420.0
445.06929721889566,438.7981784450866,451.3404159927047,420.0,447.19294486530003,453.21985307561755,441.16603665498246,420.0
445.32548900090546,439.0114127751867,451.6395652266242,420.0,447.42739058442254,453.4990162673118,441.3557649015333,420.0
446.92690462820104,440.57016124080894,453.28364801559314,420.0,447.66203208885366,453.77846137412917,441.5456028035781,420.0
448.40851677607816,442.0004869287603,454.816546623396,420.0,447.8968693785934,454.058163623117,441.7355751340696,420.0
